Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
1;Jadwiga;Baranowska;Uniwersytet Krolewski;Aleksandrow Kujawski;I;2382
2;Zofia;Chorzowska;Akademia Sztuk Pieknych;Aleksandrow Kujawski;I;1549
3;Katarzyna;Bilska;Uniwersytet Krolewski;Aleksandrow Kujawski;I;3037
4;Michal;Rada;Politechnika Krolewska;Alwernia;I;1712
5;Pawel;Milek;Politechnika Informatyczno-Elektroniczna;Alwernia;I;1459
6;Marcin;Biernat;Politechnika Krolewska;Alwernia;I;931
7;Gracja;Bijakowska;Politechnika Informatyczno-Elektroniczna;Alwernia;I;1482
8;Wojciech;Zaluski;Politechnika Krolewska;Alwernia;II;2141
9;Martyn;Kowalski;Uniwersytet Krolewski;Alwernia;II;2713
10;Jolanta;Ochala;Uniwersytet Krolewski;Alwernia;I;3332
11;Przemyslaw;Planeta;Akademia Sztuk Pieknych;Alwernia;II;444
12;Barbara;Michalska;Politechnika Krolewska;Baborow;II;2368
13;Kamil;Berakacz;Politechnika Informatyczno-Elektroniczna;Baborow;IV;1765
14;Teresa;Kuc;Uniwersytet Krolewski;Baborow;III;2602
15;Matylda;Zielinska;Uniwersytet Sportu i Turystyki;Barlinek;I;2949
16;Wieslawa;Babiarz;Uniwersytet Krolewski;Barwinek;IV;1576
17;Natalia;Barton;Wyzsza Szko�a Techniczna;Barwinek;V;409
18;Alojzy;Wolak;Uniwersytet Sportu i Turystyki;Bedzin;V;1767
19;Daniel;Lisiecki;Uniwersytet Krolewski;Bedzin;II;1867
20;Adam;Bzinkowski;Politechnika Krolewska;Bedzin;V;782
21;Andrzej;Tokarski;Uniwersytet Krolewski;Bedzin;I;2580
22;Gabriela;Kolska;Uniwersytet Krolewski;Bedzin;V;1111
23;Bogumila;Kolodziej;Uniwersytet Krolewski;Bedzin;III;630
24;Augustyna;Swierkowska;Uniwersytet Sportu i Turystyki;Bedzin;I;1489
