Id_studenta	Imie	Nazwisko	Uczelnia	id_uczelni	Miasto	Kod_pocztowy	Rok_studiow	Dochod_na_osobe
1	Jadwiga	Baranowska	Uniwersytet Królewski	4	Krosno	80-338	I	2382
2	Zofia	Chorzowska	Akademia Sztuk Piêknych	1	Pu³awy	66-219	II	1549
3	Katarzyna	Bilska	Uniwersytet Królewski	5	Lubliniec	14-322	I	3037
4	Michal	Rada	Politechnika Królewska	1	G³ucho³azy	30-136	II	1712
5	Pawel	Milek	Politechnika Informatyczno-Elektroniczna	5	Koniaków	34-607	IV	1459
6	Marcin	Biernat	Politechnika Królewska	3	Kogutek	99-754	I	931
7	Gracja	Bijakowska	Politechnika Informatyczno-Elektroniczna	2	Racibórz	00-355	V	1482
8	Wojciech	Zaluski	Politechnika Królewska	3	Jejkowice	67-738	II	2141
9	Martyn	Kowalski	Uniwersytet Królewski	2	Miko³ów	96-497	V	2713
10	Jolanta	Ochala	Uniwersytet Królewski	3	Rybnik	24-983	V	3332
11	Przemyslaw	Planeta	Akademia Sztuk Piêknych	5	Bêdzin	69-501	V	444
12	Barbara	Michalska	Politechnika Królewska	5	Ruda Sl¹ska	12-684	I	2368
13	Kamil	Berakacz	Politechnika Informatyczno-Elektroniczna	1	Krapkowice	94-560	I	1765
14	Teresa	Kuc	Uniwersytet Królewski	3	Jaworzno	98-650	II	2602
15	Matylda	Zielinska	Uniwersytet Sportu i Turystyki	2	Wis³a	99-436	I	2949
16	Wieslawa	Babiarz	Uniwersytet Królewski	5	Oœwiêcim	27-702	II	1576
17	Natalia	Barton	Wy¿sza Szko³a Techniczna	9	Sosnowiec	14-721	I	409
18	Alojzy	Wolak	Uniwersytet Sportu i Turystyki	5	Rybnik	24-983	IV	1767
19	Daniel	Lisiecki	Uniwersytet Królewski	10	Szczyrk	75-361	I	1867
20	Adam	Bzinkowski	Politechnika Królewska	9	Rzeszów	89-735	I	782
21	Andrzej	Tokarski	Uniwersytet Królewski	5	Piotrków Trybunalski	04-419	I	2580
22	Gabriela	Kolska	Uniwersytet Królewski	3	Mys³owice	13-220	I	1111
23	Bogumila	Kolodziej	Uniwersytet Królewski	5	Nowy Targ	84-043	II	630
24	Augustyna	Swierkowska	Uniwersytet Sportu i Turystyki	5	Rajcza	18-286	IV	1489
25	Tomasz	Tutaj	Politechnika Informatyczno-Elektroniczna	5	Chy¿ne	76-235	II	3079
26	Sylwester	Jarecki	Uniwersytet Muzyczny	9	Sanok	71-890	IV	3222
27	Antoni	Banakiewicz	Politechnika Królewska	2	Wis³a	99-436	I	1003
28	Piotr	Skiba	Politechnika Królewska	6	Limanowa	65-385	III	2917
29	Lidia	Kazdron	Politechnika Królewska	3	Wojkowice	84-273	III	2646
30	Karol	Krol	Uniwersytet Pedagogiczny	3	Brzesko	96-703	I	365
31	Beata	Kotlarska	Politechnika Królewska	3	Soœnicowice	15-658	I	1638
32	Jan	Tyranowski	Uniwersytet Królewski	7	Katowice	72-241	III	3333
33	Celina	Koral	Politechnika Królewska	3	Giera³towice	04-834	V	1242
34	Jacek	Witebski	Uniwersytet Królewski	5	Czêstochowa	86-116	I	1168
35	Karol	Kedzierski	Politechnika Królewska	3	£om¿a	22-623	III	1374
36	Bartosz	Samek	Politechnika Informatyczno-Elektroniczna	5	Koniaków	34-607	I	543
37	Natalia	Goral	Politechnika Królewska	3	Mys³owice	13-220	I	1947
38	Janusz	Figielski	Uniwersytet Królewski	2	Tomaszów Lubelski	95-084	I	2223
39	Henryk	Klosinski	Uniwersytet Muzyczny	3	Rabka	30-698	I	1611
40	Krzysztof	Dyszy	Uniwersytet Ekonomiczny	5	Rybnik	24-983	I	2898
41	Barbara	Szelest	Uniwersytet Królewski	6	Mys³owice	13-220	I	1666
42	Monika	Chojecka	Uniwersytet Królewski	4	Ko³baskowo	95-186	I	2124
43	Elzbieta	Jandura	Uniwersytet Królewski	5	Nysa	72-297	V	1552
44	Roman	Aron	Uniwersytet Królewski	5	D³ugopole-Zdrój	07-772	I	997
45	Joanna	Lodziarz	Uniwersytet Królewski	5	Lêdziny	27-535	I	602
46	Martyna	Bobrowska	Politechnika Królewska	5	I³awa	70-459	III	1263
